[0.21880922 0.34687459]
[0.24379548 0.35154018]
[0.21880922 0.34687459]
[0.27367271 0.61324493]
[0.27367271 0.61324493]
[0.27367271 0.61324493]
[0.27367271 0.61324493]
[0.7213478  0.18992879]
[0.7213478  0.18992879]
[0.7213478  0.18992879]
[0.7213478  0.18992879]
[0.52106807 0.21043232]
[0.56411642 0.09902292]
[0.58786673 0.08134555]
[0.56411642 0.09902292]
[0.58786673 0.08134555]
[0.56411642 0.09902292]
[0.58786673 0.08134555]
[0.56411642 0.09902292]
[0.71165927 0.17583549]
[0.71165927 0.17583549]
[0.71165927 0.17583549]
[0.71165927 0.17583549]
[0.21880922 0.34687459]
[0.21880922 0.34687459]
[0.21880922 0.34687459]
[0.21880922 0.34687459]
[0.23970496 0.33698743]
[0.23970496 0.33698743]
[0.23970496 0.33698743]
[0.23970496 0.33698743]
[0.23970496 0.33698743]
[0.23970496 0.33698743]
[0.23970496 0.33698743]
[0.23970496 0.33698743]
[0.29594653 0.56963358]
[0.26359146 0.59404027]
[0.29594653 0.56963358]
[0.26359146 0.59404027]
[0.24965488 0.47532812]
[0.27158562 0.43568969]
[0.24965488 0.47532812]
[0.27158562 0.43568969]
[0.24965488 0.47532812]
[0.27158562 0.43568969]
[0.24965488 0.47532812]
[0.27158562 0.43568969]
[0.21880922 0.34687459]
[0.21880922 0.34687459]
[0.21880922 0.34687459]
[0.21880922 0.34687459]
[0.27367271 0.61324493]
[0.27367271 0.61324493]
[0.27367271 0.61324493]
[0.27367271 0.61324493]
[0.27367271 0.61324493]
[0.27367271 0.61324493]
[0.27367271 0.61324493]
[0.27367271 0.61324493]
[0.27367271 0.61324493]
[0.27367271 0.61324493]
[0.27367271 0.61324493]
[0.27367271 0.61324493]
